"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2022","34.80","34.86","36.55","34.66","","-0.17%"
"11/18/2022","34.86","35.40","36.95","34.85","","-5.25%"
"11/17/2022","36.79","37.46","38.18","36.06","","-3.11%"
"11/16/2022","37.97","37.95","38.74","36.33","","-1.58%"
"11/15/2022","38.58","36.67","38.58","35.79","","1.61%"
"11/14/2022","37.97","36.93","38.57","36.53","","1.74%"
"11/11/2022","37.32","33.91","38.17","33.75","","3.90%"
"11/10/2022","35.92","33.64","36.21","33.64","","2.80%"
"11/09/2022","34.94","35.71","35.72","34.45","","-3.37%"
"11/08/2022","36.16","37.40","37.42","36.16","","-4.01%"
"11/07/2022","37.67","38.80","39.23","37.10","","-0.19%"
"11/04/2022","37.74","35.97","39.28","35.91","","1.86%"
"11/03/2022","37.05","36.53","37.12","36.03","","1.31%"
"11/02/2022","36.57","37.78","37.78","36.28","","-3.84%"
"11/01/2022","38.03","38.52","38.83","37.28","","-3.65%"
"10/31/2022","39.47","38.58","41.44","38.35","","-0.58%"
"10/28/2022","39.70","35.75","40.99","34.90","","8.53%"
"10/27/2022","36.58","37.26","37.46","36.18","","-5.23%"
"10/26/2022","38.60","40.41","40.41","37.61","","-6.33%"
"10/25/2022","41.21","43.49","45.11","40.99","","-4.43%"
"10/24/2022","43.12","36.76","43.54","36.19","","22.85%"
"10/21/2022","35.10","34.85","35.21","34.45","","-0.65%"
"10/20/2022","35.33","35.27","36.15","33.78","","5.46%"
"10/19/2022","33.50","33.40","33.61","27.56","","-0.48%"
"10/18/2022","33.66","33.03","34.81","32.58","","-6.03%"
"10/17/2022","35.82","32.76","37.82","32.76","","-1.46%"
"10/14/2022","36.35","36.29","36.52","34.80","","-3.63%"
"10/13/2022","37.72","36.65","37.91","36.32","","4.14%"
"10/12/2022","36.22","35.89","37.78","34.86","","0.64%"
"10/11/2022","35.99","33.52","35.99","33.42","","7.69%"
"10/10/2022","33.42","32.61","33.66","32.16","","11.62%"
"10/07/2022","29.94","29.82","30.33","29.60","","2.78%"
"10/06/2022","29.13","29.34","29.51","28.96","","-1.02%"
"10/05/2022","29.43","30.27","30.75","28.90","","-11.86%"
"10/03/2022","33.39","34.57","34.66","33.23","","2.24%"
"09/30/2022","32.66","33.16","35.46","32.46","","-6.04%"
"09/29/2022","34.76","31.01","35.12","30.51","","4.76%"
"09/28/2022","33.18","30.58","33.38","30.50","","12.51%"
"09/27/2022","29.49","29.68","30.39","29.25","","-1.34%"
"09/26/2022","29.89","30.63","30.71","29.25","","7.02%"
"09/23/2022","27.93","27.63","28.14","27.38","","0.58%"
"09/22/2022","27.77","28.78","29.32","27.76","","-0.04%"
"09/21/2022","27.78","27.38","27.92","26.95","","4.75%"
"09/20/2022","26.52","26.70","26.75","26.38","","-2.89%"
"09/19/2022","27.31","27.52","28.11","27.12","","3.06%"
"09/16/2022","26.50","26.12","26.54","25.94","","3.15%"
"09/15/2022","25.69","26.14","26.14","25.64","","-3.53%"
"09/14/2022","26.63","26.29","27.59","26.29","","3.22%"
"09/13/2022","25.80","25.98","26.33","25.39","","1.42%"
"09/09/2022","25.44","26.29","26.29","25.36","","-5.04%"
"09/08/2022","26.79","26.48","26.86","26.11","","0.41%"
"09/07/2022","26.68","27.49","27.59","26.67","","1.18%"
"09/06/2022","26.37","26.64","27.02","26.24","","-3.55%"
"09/05/2022","27.34","27.87","28.58","27.09","","3.44%"
"09/02/2022","26.43","26.11","27.04","25.89","","-0.30%"
"09/01/2022","26.51","25.55","26.60","25.15","","6.47%"
"08/31/2022","24.90","25.91","25.92","24.67","","-0.24%"
"08/30/2022","24.96","24.99","26.59","24.90","","-2.31%"
"08/29/2022","25.55","26.25","26.49","25.54","","4.37%"
"08/26/2022","24.48","23.97","24.66","23.97","","1.03%"
"08/25/2022","24.23","23.72","24.59","23.33","","-0.98%"
"08/24/2022","24.47","23.72","24.84","23.72","","2.17%"
"08/23/2022","23.95","23.75","24.57","23.24","","2.05%"
"08/22/2022","23.47","24.73","24.73","23.16","","1.29%"
