TIME,Inflation Rate
1999-11,2.621951
1999-12,2.684564
2000-01,2.738892
2000-02,3.221884
2000-03,3.757576
2000-04,3.068592
2000-05,3.188929
2000-06,3.730445
2000-07,3.659268
2000-08,3.411131
2000-09,3.454437
2000-10,3.448276
2000-11,3.446227
2000-12,3.386809
2001-01,3.732228
2001-02,3.533569
2001-03,2.920561
2001-04,3.269119
2001-05,3.61516
2001-06,3.24826
2001-07,2.719908
2001-08,2.719908
2001-09,2.648244
2001-10,2.126437
2001-11,1.895462
2001-12,1.551724
2002-01,1.142204
2002-02,1.137656
2002-03,1.475596
2002-04,1.639344
2002-05,1.181767
2002-06,1.067416
2002-07,1.464789
2002-08,1.802817
2002-09,1.514302
2002-10,2.025886
2002-11,2.198422
2002-12,2.37691
2003-01,2.597403
2003-02,2.980877
2003-03,3.020134
2003-04,2.224694
2003-05,2.057842
2003-06,2.112285
2003-07,2.109939
2003-08,2.158273
2003-09,2.320442
2003-10,2.040816
2003-11,1.76503
2003-12,1.879491
2004-01,1.926252
2004-02,1.693064
2004-03,1.737242
2004-04,2.285093
2004-05,3.051771
2004-06,3.266195
2004-07,2.990756
2004-08,2.654388
2004-09,2.537797
2004-10,3.189189
2004-11,3.523035
2004-12,3.255562
2005-01,2.969762
2005-02,3.007519
2005-03,3.148346
2005-04,3.510638
2005-05,2.80275
2005-06,2.530311
2005-07,3.167899
2005-08,3.641161
2005-09,4.686677
2005-10,4.347826
2005-11,3.455497
2005-12,3.415659
2006-01,3.985317
2006-02,3.597497
2006-03,3.362649
2006-04,3.545735
2006-05,4.166667
2006-06,4.318766
2006-07,4.145343
2006-08,3.818737
2006-09,2.062374
2006-10,1.305221
2006-11,1.973684
2006-12,2.54065
2007-01,2.075643
2007-02,2.415199
2007-03,2.778779
2007-04,2.573697
2007-05,2.690864
2007-06,2.687038
2007-07,2.358231
2007-08,1.970083
2007-09,2.755052
2007-10,3.536175
2007-11,4.306203
2007-12,4.081269
2008-01,4.280294
2008-02,4.026556
2008-03,3.981456
2008-04,3.93689
2008-05,4.175543
2008-06,5.02179
2008-07,5.600123
2008-08,5.371855
2008-09,4.936927
2008-10,3.655186
2008-11,1.069575
2008-12,0.0914129
2009-01,0.0298465
2009-02,0.2361911
2009-03,-0.3835562
2009-04,-0.7368857
2009-05,-1.281436
2009-06,-1.426776
2009-07,-2.097161
2009-08,-1.484349
2009-09,-1.286206
2009-10,-0.1828483
2009-11,1.838296
2009-12,2.721331
2010-01,2.625709
2010-02,2.143332
2010-03,2.313959
2010-04,2.236447
2010-05,2.020986
2010-06,1.053349
2010-07,1.235193
2010-08,1.148105
2010-09,1.143683
2010-10,1.172188
2010-11,1.143161
2010-12,1.495723
2011-01,1.631847
2011-02,2.107585
2011-03,2.681603
2011-04,3.163631
2011-05,3.568646
2011-06,3.558828
2011-07,3.628716
2011-08,3.771208
2011-09,3.868357
2011-10,3.5252
2011-11,3.394378
2011-12,2.962419
2012-01,2.925217
2012-02,2.871099
2012-03,2.651398
2012-04,2.30274
2012-05,1.704254
2012-06,1.663994
2012-07,1.408451
2012-08,1.692379
2012-09,1.991282
2012-10,2.162344
2012-11,1.764134
2012-12,1.741022
2013-01,1.594865
2013-02,1.977924
2013-03,1.473896
2013-04,1.063085
2013-05,1.361965
2013-06,1.754417
2013-07,1.960682
2013-08,1.518368
2013-09,1.184925
2013-10,0.9636127
2013-11,1.237072
2013-12,1.501736
2014-01,1.578947
2014-02,1.126349
2014-03,1.512203
2014-04,1.952858
2014-05,2.127111
2014-06,2.072341
2014-07,1.992329
2014-08,1.699611
2014-09,1.657919
2014-10,1.66434
2014-11,1.322355
2014-12,0.7564933
2015-01,-0.08934832
2015-02,-0.0251298
2015-03,-0.07363739
2015-04,-0.1995174
2015-05,-0.03993275
2015-06,0.1237712
2015-07,0.1695698
2015-08,0.1950793
2015-09,-0.03612975
2015-10,0.1705744
2015-11,0.5017976
2015-12,0.7295198
2016-01,1.373087
2016-02,1.0178
2016-03,0.8525362
2016-04,1.12511
